x,y,CO2flux, T
419200,7288497,5.67,9.9
419249,7288500,22.26,10.2
419298,7288503,0.74,9.8
419334,7288497,1.96,9.7
419299,7288450,1.67,9.1
419252,7288452,0.01,9.4
419202,7288456,1.8,9.8
419255,7288396,0.73,10.2
419295,7288393,1.17,9.5
419353,7288460,0.92,12.6
419242,7288354,2.23,9.3
419300,7288349,3.94,10.2
419348,7288350,16.29,11.9
419390,7288409,0.66,8.4
419401,7288421,1.05,10.4
419400,7288351,23.9,11.7
419449,7288351,24.84,12.6
419463,7288402,57.87,17.7
419496,7288450,1.15,9.3
419504,7288496,0.99,9.5
419548,7288499,2.08,10.9
419549,7288449,11.13,8.5
419551,7288399,8.53,8.2
419552,7288350,6.11,9.7
419500,7288350,1025.11,11.7
419505,7288398,5.06,10.2
419600,7288352,1.77,9.2
419653,7288351,8.75,9.2
419701,7288350,9.64,9.6
419754,7288354,33.8,38.4
419803,7288351,16.15,9.2
419849,7288350,8.95,8.7
419897,7288351,1.18,9
419943,7288397,23.87,8.5
419999,7288400,38.19,8.3
419968,7288354,10.82,8.4
420001,7288349,15.49,7.8
420051,7288347,1.19,7.6
420044,7288413,7.06,7.9
420053,7288456,2.55,8.1
420102,7288458,1.82,8.6
420102,7288501,1.41,8.3
420052,7288500,39.17,8.6
420001,7288502,35.4,11.1
419999,7288451,18.33,8.5
419951,7288451,7.67,9.4
419948,7288500,18.46,10.4
419901,7288501,95.01,11.6
419900,7288451,1.25,9.7
419898,7288400,18.15,9.6
419851,7288403,3.5,8.8
419849,7288452,13.94,9
419850,7288495,3.7,10.1
419799,7288500,5.38,9.8
419800,7288450,8.5,9.1
419800,7288402,1.61,95
419749,7288398,3.21,8.6
419750,7288450,15.69,11.2
419750,7288500,11.66,10.2
419701,7288447,2.38,9.4
419696,7288407,6.29,8.6
419650,7288397,8.89,10.7
419650,7288449,11.73,8.9
419599,7288400,14.17,9.4
419601,7288446,3.29,8
419693,7288499,3.1,8.7
419652,7288500,2.27,8.9
419600,7288500,1.76,13.2
419456,7288494,1.22,9.5
419456,7288454,2.26,10.2
419200,7288297,5.61,10
419253,7288300,3.93,9.8
419303,7288300,2.98,10.4
419351,7288300,10.18,13.1
419399,7288301,7.6,13.1
419450,7288299,3.79,10.9
419480,7288302,5.19,12.2
419387,7288252,11.65,11.6
419349,7288249,11.36,21.4
419301,7288250,3.88,10.1
419248,7288248,10.17,9.9
419200,7288249,3.07,9.9
419201,7288198,5.07,10.3
419248,7288199,3.77,9.5
419299,7288198,31.43,13.9
419351,7288201,55.61,13.6
419401,7288200,79.01,15.1
419446,7288195,6.5,23.2
419501,7288202,45.24,15.6
419552,7288201,28.04,12.6
419597,7288201,11.34,10.3
419649,7288220,8.76,10.6
419701,7288201,19.85,12.5
419699,7288251,3.62,10.2
419650,7288251,4.53,10
419602,7288254,2.92,9.4
419549,7288254,29.96,11
419499,7288249,48.44,13.7
419450,7288248,7.39,11.8
419547,7288297,61.37,10.8
419604,7288296,4.49,9.5
419651,7288299,3.52,9.9
419701,7288300,5.61,9.7
419753,7288300,22.04,10.2
419822,7288292,923.92,54.2
419844,7288309,196.46,16
419872,7288299,7.17,9.4
419736,7288236,2028.23,51
419750,7288198,6.96,9.6
419800,7288202,12.87,10.8
419803,7288243,3.04,9.9
419849,7288248,19.97,9.6
419900,7288251,4.13,9.9
419904,7288298,3.27,8.3
419946,7288302,4.51,9.7
419885,7288202,3.49,11.3
419850,7288200,5.78,10.9
419802,7288147,4.15,11.5
419751,7288148,40.89,11.1
419702,7288149,3.6,12.5
419650,7288150,35.58,14.8
419601,7288140,59.06,16.5
419603,7288097,42.21,19.6
419651,7288100,65.48,17.8
419699,7288099,23.17,15.7
419750,7288101,3.75,14.7
419794,7288103,4.86,11
419850,7288100,2.9,13.1
419850,7288148,32.42,10.2
419851,7288164,8382.23,13.1
419901,7288152,18.99,11.6
419950,7288151,63.6,14.9
419955,7288187,543.36,93.7
419964,7288186,3531.9,96.1
419935,7288192,668.04,97.5
419950,7288200,27.31,13.5
420000,7288251,7.6,9.5
419999,7288306,3.83,8.6
420052,7288300,26.47,8.6
420051,7288251,8.72,10.5
420090,7288199,7.14,9.7
420100,7288150,58.04,11
420073,7288146,4641.02,97.6
420050,7288149,78.27,13.3
420050,7288200,7.33,8.9
420001,7288199,77.12,10.6
420000,7288154,33.8,12.8
419951,7288100,51.85,18.7
419899,7288099,3.46,12.5
419947,7288252,5.42,11
419902,7288209,15.96,16.1
419896,7288198,678.35,22
419997,7288108,2992.72,97.8
420001,7288101,38.63,24.3
420052,7288103,4.2,12.5
420098,7288101,5.15,11.7
420147,7288101,1291.93,65.8
420199,7288101,11.59,13.2
420200,7288050,15.38,12.6
420148,7288051,25.68,23.8
420104,7288051,15.18,11.3
420049,7288048,16.33,12.1
420001,7288049,4.98,11.8
419949,7288049,11.63,11.2
419901,7288053,11.02,11.5
419981,7288147,0.08,27.8
420008,7288146,1.13,92.2
419202,7288153,0.02,11.5
419250,7288151,0.05,11.3
419300,7288148,0.04,11.7
419352,7288147,14.34,11.7
419400,7288152,103.66,16.9
419450,7288150,54.51,14
419500,7288149,65.65,13.7
419550,7288151,15.99,10.1
419542,7288112,213.82,82.8
419524,7288101,695.47,86
419502,7288097,1431.09,24
419446,7288102,27.72,9.2
419388,7288118,5.4,10.1
419348,7288112,4.76,9.6
419299,7288104,10.85,8.4
419246,7288097,21.52,9.4
419297,7288054,4.5,8.7
419351,7288047,3.85,9
419400,7288049,27.57,9.6
419417,7288088,3.25,9
419449,7288051,11.26,9.1
419501,7288050,6.23,10
419547,7288050,20.84,13.5
419601,7288053,1936.32,13.1
419648,7288052,138.56,14.9
419700,7288051,5.17,14.5
419749,7288050,4.55,15
419799,7288052,9.32,9.4
419850,7288050,4.33,9.5
419850,7288001,66.22,10.1
419800,7288000,7.82,13.6
419748,7288002,28.76,14.1
419700,7288000,48.48,18
419648,7287999,181.85,14.6
419598,7288001,20.86,8.9
419549,7287994,3.19,9.3
419501,7287997,4.04,9.4
419449,7288001,4.7,9.3
419404,7288006,6.48,9.7
419399,7287952,4.05,9.3
419455,7287952,3.94,9.3
419499,7287950,5.64,8.8
419562,7287949,3.21,9.5
419599,7287950,4.44,10.1
419649,7287953,87.29,15
419705,7287951,490.32,12.5
419743,7287952,31.88,12.1
419759,7287948,35.73,11.7
419801,7287948,27.65,10.8
419852,7287953,3.21,12.7
419901,7287952,18.1,9.7
419951,7287951,23.12,9.5
419999,7287951,38.05,9.6
420051,7287950,17.66,10.2
420150,7288001,44.51,9.2
420100,7287999,4.36,10.1
420090,7288034,750.88,95.8
420103,7288032,1708.64,70.6
420049,7287996,32.85,10.8
419999,7288000,15.4,9.9
419949,7287999,4.14,11.1
419899,7287997,12.58,10.6
419901,7287904,19.72,11.5
419850,7287900,8.45,10
419802,7287902,3.73,10.4
419749,7287899,22.57,12.4
419698,7287899,75.53,14.6
419649,7287901,15.4,12.8
419601,7287900,43.71,12.5
419551,7287898,21.28,11.8
419499,7287899,3.95,10.3
419450,7287902,2.86,9.4
419401,7287896,4.96,9.5
419352,7287897,3.13,9.5
419352,7287849,3.36,10.5
419401,7287849,6.01,10
419451,7287852,29,11
419498,7287850,38.81,11.6
419551,7287850,11.04,12.1
419599,7287848,45.64,11.1
419652,7287850,3.22,8.6
419704,7287851,6.49,7.7
419750,7287849,1.71,7.3
419799,7287850,2.16,7.6
419749,7287797,14.35,7.9
419697,7287800,11.06,8.3
419650,7287800,46.58,11.6
419602,7287801,38.36,16.7
419548,7287798,26.71,9.2
419501,7287801,166.36,10.7
419450,7287799,3.67,8
419402,7287798,4.95,7.6
419350,7287798,1.9,6.4
419352,7287750,2.23,6.2
419404,7287749,1.81,7.6
419452,7287749,2.36,7.6
419498,7287749,1.63,9.1
419552,7287753,32.68,18.2
419599,7287750,139.61,18.3
419650,7287751,6.97,11.8
419702,7287751,7.36,7.5
419700,7287699,1.62,7.6
419651,7287702,4.05,9.5
419600,7287698,7.04,9.8
419548,7287697,3.64,9.2
419502,7287699,2.83,9.3
419451,7287700,2.74,7.2
419398,7287696,2.56,7.2
419350,7287699,3.07,7.3
419401,7287646,1.63,7.2
419450,7287650,0.9,7.1
419499,7287650,1.23,7.3
419550,7287650,3.42,8.4
419597,7287649,7.42,9.6
419651,7287650,31.86,9
419700,7287648,0.52,8.1
419702,7287602,2.47,8.4
419648,7287599,3.33,7.9
419600,7287598,3.6,8.3
419550,7287601,4.88,7.9
419500,7287601,1.7,7.9
419531,7287727,6.29,12.2
419385,7288463,3.86,7.7
419352,7288417,589.61,97.5
419171,7288550,12.32,10.8
419221,7288549,88,11.7
419272,7288549,79.2,14
419321,7288550,30.8,12
419353,7288550,13.64,10.4
419402,7288600,18.92,8.5
419350,7288602,10.12,10.9
419299,7288602,23.76,11.5
419249,7288602,44,14.9
419198,7288600,7.04,8.2
419161,7288601,9.24,8.8
419177,7288651,44,11.6
419228,7288649,10.12,8.4
419281,7288652,10.56,8.4
419334,7288649,14.08,8.8
419384,7288651,11.88,9.2
419432,7288651,61.6,7.6
419432,7288699,20.24,7.7
419376,7288696,1.58,7.7
419323,7288703,15.4,7.3
419269,7288701,13.64,8.1
419213,7288702,1.76,8
419247,7288746,5.28,8.4
419302,7288753,4.84,8.4
419358,7288750,1.32,10.3
419414,7288749,0.92,7.7
419445,7288747,17.6,7.4
419439,7288802,6.6,7.5
419431,7288852,5.28,8
419456,7288897,0.84,8.7
419506,7288902,2.64,9.4
419567,7288898,18.48,8.2
419645,7288901,1.32,8.7
419698,7288897,2.64,7.7
419751,7288899,242,7.4
419800,7288899,3.52,8.5
419853,7288901,704,9.6
419904,7288901,14.08,9.9
419952,7288899,25.52,73.5
419946,7288875,264,11.1
420002,7288899,26.4,8.6
420052,7288902,396,8.5
420101,7288900,14.96,8.1
420153,7288898,3.08,6.4
420206,7288899,1.76,7
420242,7288951,6.16,7.9
420191,7288948,4.4,12.3
420136,7288952,66,96.7
420151,7288931,220,27
420089,7288952,704,17.7
420039,7288949,2332,18.8
419984,7288955,5.28,10.1
419940,7288951,14.96,16.3
419893,7288950,7.92,7.4
419838,7288949,13.64,6.3
419794,7288949,3.08,9
419483,7288949,3.08,9.5
419540,7288969,6.6,8.7
419591,7288951,2.64,9.1
419638,7288948,15.4,9.2
419693,7288948,57.2,9.3
419745,7288952,11,7
419746,7289001,8.8,8.9
419799,7288996,2.2,7.7
419847,7289001,0.88,11.1
419890,7288997,0.26,10.4
419944,7289004,3.52,12.6
420000,7288999,30.8,11.5
420052,7288998,11,11.6
420104,7289003,1.01,7.7
420153,7289000,123.2,12.1
420201,7289002,176,8.1
420252,7289000,35.2,7.7
419537,7289016,9.24,7.7
419589,7289001,17.16,7.6
419638,7289003,10.12,9.1
419681,7289004,13.64,8.9
419681,7289050,11,8.9
419734,7289049,11,8.7
419781,7289050,10.12,7.8
419830,7289051,3.52,8.2
419879,7289050,5.72,9.9
419931,7289049,6.6,7.9
419979,7289049,11.44,10.5
420029,7289051,14.96,11
420088,7289050,6.6,13.8
420131,7289051,44,9.1
420182,7289050,30.8,10
420209,7289062,250.8,96.6
420209,7289062,484,31
420219,7289053,1012,57
420249,7289052,5.28,8.4
420287,7289101,6.6,7.7
420242,7289099,6.6,8.2
420191,7289102,6.6,12.1
420140,7289099,5.28,9.4
420090,7289100,3.08,12.6
420041,7289100,74.8,10.2
419989,7289099,18.04,9.5
419940,7289100,3.96,8.2
419884,7289102,48.4,7.4
419839,7289101,1.32,5.3
419792,7289101,6.16,8.9
419738,7289099,14.96,9.3
419691,7289101,10.56,9.1
419642,7289100,16.72,9.9
419642,7289050,3.08,9
419593,7289050,2.64,8.8
419552,7289048,1.32,10.4
419564,7289099,3.08,7.8
419612,7289101,10.56,6.7
419583,7289149,3.52,8.7
419635,7289150,1.19,11.5
419686,7289149,3.52,9.7
419733,7289147,1.98,9.5
419788,7289160,79.2,43.5
419835,7289150,6.16,8.7
419885,7289149,4.4,7.8
419936,7289152,5.72,8.7
419983,7289149,0.92,9.3
420036,7289151,2.2,10
420088,7289145,792,9.7
420089,7289112,25.52,11.5
420059,7289150,3.52,9.6
420111,7289151,3.52,10
420157,7289151,10.12,9.5
420210,7289149,4.05,8.8
420259,7289146,52.8,8.6
420296,7289152,3.08,8.5
420310,7289200,3.52,7.7
420262,7289200,5.28,8.4
420237,7289202,3784,8.8
420234,7289192,15.84,9.5
420244,7289213,184.8,8.8
420227,7289205,10.56,9.8
420184,7289198,25.08,9.5
420137,7289200,12.32,15.7
420085,7289200,3.96,9.9
420037,7289202,1.94,10.5
419985,7289199,20.24,9.2
419934,7289199,2.2,10.1
419885,7289200,2.64,8.8
419836,7289199,2.64,8.8
419784,7289199,9.68,10.6
419736,7289200,18.04,9.7
419684,7289192,1.58,9.3
419635,7289202,1.06,8.8
419592,7289200,1.23,9.4
419612,7289251,2.2,9.1
419660,7289250,1.8,9.6
419711,7289249,2.2,9.9
419762,7289250,6.6,11.3
419814,7289250,0.7,13.6
419863,7289247,7.92,9.7
419914,7289250,1.72,9.6
419916,7289301,1.32,10.6
419870,7289299,2.2,12.1
419818,7289297,1.23,11
419771,7289300,0.97,10.5
419720,7289300,5.28,10.5
419670,7289359,1.41,7.8
419732,7289350,6.16,10.6
419792,7289347,2.64,5.2
419815,7289357,17.16,11.2
419905,7289339,11.44,13.7
420069,7289272,1.58,10.3
420127,7289244,4.84,13.2
420179,7289248,7.92,10
420224,7289248,1.76,8.7
420268,7289250,3.08,8.6
420215,7289302,4.84,8.7
419485,7288850,1.54,9.5
419533,7288851,3.52,8.6
419585,7288849,2.2,9.3
419635,7288850,3.52,11.1
419684,7288850,1.5,9.3
419735,7288850,3.52,7.9
419788,7288853,5.28,8.1
419835,7288850,114.4,7.1
419885,7288850,26.4,8.6
419935,7288850,7.48,8.4
419985,7288850,23.32,9.5
420034,7288845,26.4,34.8
420034,7288845,5632,90.1
420085,7288851,61.6,8
420136,7288850,12.32,7.9
420130,7288800,7.92,8.1
420082,7288804,30.8,8.5
420037,7288798,35.2,7.1
419984,7288800,44,8.8
419937,7288800,1.54,10.6
419889,7288800,1.89,16.6
419837,7288801,8.8,8.8
419785,7288802,1.32,6.1
419737,7288800,1.36,7.4
419683,7288801,1.54,8.7
419634,7288800,0.92,8.3
419586,7288801,1.1,8.5
419536,7288802,2.2,7.7
419550,7288753,18.48,8.2
419599,7288745,1.5,9
419650,7288750,0.79,9
419700,7288750,0.48,9
419750,7288752,8.8,9.6
419801,7288749,1.23,10.9
419852,7288751,1.5,13.4
419900,7288748,1.28,8.6
419949,7288751,83.6,14.1
420007,7288748,92.4,8.1
420050,7288750,19.36,8.1
420103,7288745,110,7.6
420103,7288745,35.2,7.6
420148,7288755,2.64,7.1
420169,7288701,136.4,6.7
420200,7288700,96.8,7.3
420227,7288699,17.6,7.1
420128,7288695,13.2,7.1
420075,7288699,7.92,10.8
420025,7288695,57.2,7.6
419979,7288701,4.4,27.7
419926,7288701,2.2,10
419876,7288699,0.62,9
419829,7288695,0.26,7.7
419766,7288707,1.14,6.3
419725,7288699,0.48,7.7
419677,7288701,16.72,11.6
419626,7288700,2.2,9.9
419576,7288699,0.75,11.7
419493,7288807,1.63,10.7
419511,7288752,35.2,27.5
419488,7288698,7.04,9.9
419531,7288701,30.8,33.7
419483,7288650,0.75,11.8
419534,7288650,0.26,8.3
419585,7288650,14.52,36.3
419635,7288651,233.2,9.1
419685,7288652,202.4,13.8
419729,7288643,5.28,6.5
419785,7288650,15.84,7.1
419835,7288648,9.24,7.2
419885,7288651,6.16,8.6
419935,7288651,3.52,8.3
419985,7288652,8.36,8.2
420035,7288650,30.8,9.5
420086,7288652,4.4,7.6
420134,7288650,3.52,7.3
420177,7288649,1.76,5.7
419455,7288600,0.84,7.2
419510,7288602,0.66,4.9
419559,7288602,0.7,7.4
419609,7288602,1.19,6.7
419661,7288599,12.76,7.2
419709,7288601,6.16,6.9
419761,7288601,2.64,5.9
419811,7288598,1.14,6.3
419859,7288604,3.08,5.9
419910,7288599,26.4,8.8
419964,7288600,52.8,6.7
420010,7288599,7.92,6.4
420058,7288602,20.24,10
420113,7288601,3.08,6.2
420162,7288599,5.28,5.3
420159,7288550,2.2,5.7
420112,7288552,30.8,5.3
420060,7288552,39.6,5.9
420011,7288550,2.2,6.1
419959,7288552,1.8,7.7
419913,7288549,30.8,8.3
419861,7288550,61.6,8.4
419810,7288550,4.84,7.8
419759,7288550,114.4,6.4
419711,7288549,3.96,6.2
419662,7288551,7.04,5.3
419611,7288551,0.92,8.5
419564,7288551,4.84,7
419516,7288550,1.28,7.2
419465,7288550,0.92,11.2
419410,7288553,1.45,8.7
420148,7288200,4.21,6.3
420199,7288197,9.74,5
420150,7288150,12.85,5.4
420198,7288150,2.7,7.3
420245,7288101,6.12,7.1
420297,7288100,6.59,6.9
420299,7288051,2.65,6.2
420250,7288050,4.77,6.4
420251,7288001,1.46,7.6
420201,7288000,2.65,9.3
420199,7287962,4.4,7.7
420149,7287951,2.27,7.1
420099,7287952,1.85,6.6
420091,7287901,3.63,9
420049,7287898,3.1,7.4
420002,7287899,2.75,6.7
419958,7287902,1.72,7.1
419902,7287850,1.36,8.2
419853,7287850,1.36,7.9
420018,7288117,749.77,71.2
